"title","subTit","date","contents","tags","type","services","schedule","minPrice","maxPrice","cash","cards","mCard","amex","visa","state","del","quarter","zip.code","street","corner","inBetween","numExt","numInt","lat","lon","tel","web","score"
"kochi kochi land centro histórico","",2017-01-31 08:59:00,"gallery tdselectgalleryslideslide columns ids orderbyrand chispas multicolor bombones colores pastel mucha crema batida elementos infaltables local kochi kochi land abrió ciudad méxico postres comunes calles japón ahora centro histórico pide kochi kochi girl taiyaki helado favorito momento cono galleta forma pez koi rellenan helado sabor taro matcha sémame vainilla chiste mandatorio agregarle chispitas galletas malvaviscos jarabe chocolate opción crepa harajuku puedes ponerle fruta fresca fresas zarzamoras curiosidades refresco ramune famoso veranos nipones canica cae después abres lidiar manera divertida acabas bebida ofrecen servicios eventos privados incluye atención varias kochi kochi girls anímate ir vestido tonos pastel aportarías espíritu lugar","japonesa ","japonesa","japonesa ","lun-jue 12:30-20, vie-dom 12:30-21 h",50,150,1,0,0,0,0,"Ciudad de México","Cuauhtémoc","Centro",6000,"Dolores","","Independencia","4D","",19.4339163,-99.142767,"s/n","",""
" strada","",2017-01-27 12:38:00," carta lugar inspirada cocina tradicional italiana mano chef italiano creó menú acercarse alas técnicas dejen paladar sabor casero sirve desayunos postres helados","sinópsis  valet parking  internet inalámbrico  italiana  servicio llevar  desayunos  área fumar  servicio bar  servicio domicilio  terraza  ver deportes  area niños  ideal grupos grandes ","italiana","italiana desayunos area niños ideal grupos grandes valet parking área fumar servicio bar servicio domicilio servicio llevar terraza internet inalámbrico  ver deportes ","lun-mié 9-22 h, jue-sáb 9-23 h, dom 9-19 h",300,450,1,1,NA,NA,NA,"Ciudad de México","Benito Juárez","Crédito Constructor",3940,"Hera","","Minerva","38","",19.3646225,-99.1804961,"5661 2619","http://www.lastradadf.com/",""
"china girl interlomas","",2017-01-19 09:02:00," preámbulo sazón pasando alto aspecto kitsch gusta orientales china girl ofrece ambiente totalmente casual relajado especialidades comunes restaurantes chinos ganado gusto familias zona alrededores adoptado opción comer cenar","sinópsis  china ","china","china ","lun-dom 13-23 h",250,300,1,1,NA,NA,NA,"Estado De México","Huixquilucan","Hacienda De Las Palmas",52763,"Martín Caballero","Jesús del Monte","","1","",19.389685,-99.2918279,"5247 4762","",""
"ardente condesa","",2017-01-10 17:31:00," juan luis r pons después éxito pedregal lado sud ardente inicia nueva sucursal ahora condesa contará mismo menú comida italiana vinos postres artesanales pierdas helados premiado poncho jarero ozio gelateria pizza margherita dop ingredientes traídos país bota cuestión pasen tres primeros meses operación dueños obtengan sucursal certificación associazione vera pizza napoletana garantiza apego fiel sabores métodos artesanales tamaño temperatura horno manejo masa sabor producto final","sinópsis  italiana ","italiana","italiana ","lun-mié 13-23 h, jue-sáb 13-24 h, dom 13-19 h",350,500,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Condesa",6140,"Laredo","Amsterdam","","13","",19.4129198,-99.1709541,"","http://www.ardente.com.mx",""
"soul roma","",2017-01-10 17:12:00," glühwein bebida origen alemán vino tinto caliente especiado endulzado propósito principal trago calentar articulación entumidasoul romael cielo chilango comfort food trae tierras bajo nombre mulled wine servido rodaja naranja perfecto maridaje brownie nutella tocino","critica  americana ","americana","americana ","lun-jue 13-23 h, vie-sáb 13-00 h, dom 13-18 h",100,250,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Roma Norte",6700,"Tabasco","","Mérida","101","",19.4196919,-99.1574118,"7155 1299","","Atención:3 - Calidad:3 - Ambiente:3 -"
"canalla bistro","",2016-12-30 13:26:00," pedro reyes reojo podría parecer asiático leen palabras thai teriyaki wasabi segunda lectura entiendes chef español ensaladilla rusa ahí aparece menú empanada langostino ajillo comida llega mesa existe concepto previo pueda definir cocina multipremiado ricard camarena llegó valencia cocina desenfadada quitada pena sabores contundentes presentaciones sacan sonrisas ejemplo sándwich niguiri patopekín español gringo japonés chino canalla galleta oreo parmesano tocino bocados provocan obligan pedir recomendación centro porciones generosas si comparten pueden llegar saturar muestra tempura melosa verduras delicia vez delicia dos veces cantidad persona podría ser quizá selección platillos primera visita canalla bistro coincidió alma cremosa faltaron toques ácidos carta generosa suficientes opciones crear buena experiencia ubicación centro comercial todavía desangelado podría ser problema embargo creo canalla suficiente propuesta hacer incluso gente pretexto visitar plaza","critica ","","","dom-jue 13-00 h, vie-sáb 13-00:30",350,500,1,1,NA,NA,NA,"Ciudad de México","Miguel Hidalgo","Granada",11520,"Ejército Nacional","Prolongación Moliére","","769","",19.4384383,-99.2002702,"5325 7601","","Atención:3 - Calidad:3 - Ambiente:3 -"
"ricerca","",2016-12-30 13:12:00," sasha gamboa kale fresas albahaca especias vista huerto triada italiana compuesta gelatería repostería restaurante primero llegó mesa salami italiano focaccia maridar primer tiempo chef josé luis cervantes sugirió copa fragolino vino bien italiano buen precio copeo botella después llegó ensalada hongos mezcla lechugas huerto aderezo cambian diariamente betabel dulce acidito ponerle sabor color ensalada sabía bien enamoré pasta olfato aroma desprendía cítrico limón amarillo hierbas mezclado queso grana padano fusiona pasta caliente hecha casa plato tocó vinito montepulciano mereció pedir botella aunque auténtica fan pasta bien hecha vino italiano estrella restaurante vez gelatos variedades reposan refrigerador tres imperdibles aguacate cacao aceite oliva último gelato insignia casa tan buenos chef graduado tema años italia estudió universidad gelato universidad ahora voy enterando existe titulado honores","critica  italiana ","italiana","italiana ","mar-dom 9-23 h",250,350,1,1,NA,NA,NA,"Ciudad de México","Alvaro Obregón","San José Del Olivar",1770,"Av. Toluca","","","1151","",19.3374849,-99.2392438,"6842 0904","","Atención:3 - Calidad:3 - Ambiente:3 -"
"lappart","",2016-12-30 12:50:00," maría josé alegret transportamos calles parisinas platillo típico buen vino dan calor corazón lappart unbistró comida casera familiar bien ejecutado quiche ratatouille tarte tatin dejamos seducir rincón trae pedacito ciudad luz condesa quizás menú amplio reúne elementos obligados si decoración típica departamento europeo hecho viajar mente sopa cebolla hizo labor hicimos paso mares queso gratin coquillettes pasta gratinada disfrutamos bocados hachis parmentier pastel carne puré papa opinión debe acompañar vino dueño francés esencia lappart reside sazón buen ejemplo pan francés capa crujiente canela exterior esponjoso suave dentro acompaña baño crema importante selección frutos rojos merece aplauso pie coloca favoritos carta restaurante haciéndose presente radar comelones chilangos ojalá cohete condesa despegue pronto seguro llegará alto","critica ","","","mar-sáb 14-22:30 h, dom 11-17:30 h,",350,500,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Condesa",6140,"Fernando Montes de Oca","","Jojutla","64","",19.4134285,-99.1755669,"7155 1302","","Atención:4 - Calidad:4 - Ambiente:4 -"
"bartola","",2016-12-30 12:39:00," maría josé alegret hacía falta altavista buen concepto cocina cantina arquitectura mexicana amplio menú espacio resalta diseño gastronomía bienvenidos aquellos ganas echar copa disfrutar buena sobremesa calentar motores escamoles salteados mantequilla obligado comerlos taco pues quién dice tortilla hecha mano toque especial salsa chicatana molcajeteada mesa cantina respeta buen chamorro éste deshace boca primera mordida síaviéntalo centro tamaño aquí cuenta bien dicen mejor llega último bartola saben visita completa si pruebas flan queso cabra serio pídelo planta alta recibe música vivo fines semana si afortunado encontrarás grupo cubano trae buena fiesta parte abajo mantienen ambiente tranquilo ambos pisos aliada carta mixología viciosos agradecerán bartola tabaco friendly pocas cuestiones corregir miedo sal fideo seco ejemplo lugar pinta mejor esperado pronto ganará codiciado quinto chile chilango plaza carso","critica  mexicana ","mexicana","mexicana ","lun-mié 13:30-00 h, jue y vie 13:30-2 h, sáb y dom 10-2 h",400,600,1,1,NA,NA,NA,"Ciudad de México","Alvaro Obregón","San Angel",1000,"Altavista","Arturo","","154","",19.3491203,-99.1962098,"7595 3104","","Atención:4 - Calidad:4 - Ambiente:4 -"
"maison kayser virreyes","",2016-12-30 11:55:00," sasha gamboa repostería sabores cocina tradición francesa panadero eric kayserllegan colonia juárez ciudad méxico propuesta panadería restaurante cafetería tienda gourmet lugar hace honor lemacompramos ojos volvemos sabor lugar deleita comensal vitrinas llenas pan dulce salado pasteles ensaladas listos llevar degustar alguna mesas lugar piezas favoritas financiers consistencia esponjosa interior viscosapor mañana elige auténtico desayuno francés croque madamepan francés huevo jamón queso ensalada jugo naranja natural postre macarronade frambuesa pistache toda explosión texturas sabores buena opción llevar mini pizza fugaz ratatouille si buscas regalar elige caja financiers miniatura tres sabores chocolate vainilla caféla opción dulce degustar cualquier hora financier framboise va bien taza café té primera tres sucursales eric kayser abrirá fin año méxico dos ubicadas centro comercial perisur terminal dos aeropuerto ciudad méxico maisonkaysermex","critica  francesa ","francesa","francesa ","lun-vie 7-22:30 h, sáb y dom 8-22:30 h",40,300,1,1,NA,NA,NA,"Ciudad de México","Miguel Hidalgo","Molino Del Rey",11040,"Torre Virreyes, Pedregal","","","24","",19.4255139,-99.2031318,"5202 3173","","Atención:3 - Calidad:4 - Ambiente:0 -"
"mia domenicca","",2016-12-23 12:08:00,"gallery tdselectgalleryslideslide columns ids orderbyrand roma faltaba restaurante mia domenicca si bien cocina producto concepto presumen varios pocos ejecutan merecido aplauso nueva apertura ganó elogios cuento bajo notoria influencia mediterránea intención platillos decoración interior toscana hacen lugar espacio acogedor busca punto medio casual fine dining abrumarnos pretensiones menú consta únicamente platillos mismos varían dependiendo oferta productos locales insignia casa principal responsable calificación perfecta cinco chiles seta rosa glaseada sofrito kale jugo hongos textura suave sabor ciertamente mantequilloso considero imperdible lugar llena huequitos restantes ravioles hechos cero cocina rellenos ricotta puré hongos mantequilla salvia mia domenicca armas coronarse favorito roma convertirse mejores ciudad méxico espero éxito diría joan sebastian bien merecido","critica  mediterránea  abierto domingo ","mediterránea","mediterránea abierto domingo ","mar-sáb 13:30-23 h, dom 13:30-18 h",350,550,1,1,0,0,0,"Ciudad de México","Cuauhtémoc","Roma Norte",6700,"Durango","Cozumel","","279","",19.4191015,-99.1708158,"9130 8456","","Atención:5 - Calidad:5 - Ambiente:5 -"
" costilla","",2016-12-17 11:27:00," taquería gran ubicación cumbres maltrata glorieta vértiz ofrece menú digno monchis después fiesta ser gran representación costilla cumple tarea quitarte hambre tacos suadero longaniza precio amigable horario amplio fin semana así lánzate si andas zona opción cercana","critica  mexicana  abierto domingo  servicio llevar ","mexicana","mexicana abierto domingo servicio llevar ","mar-jue 13-2 h, vie 13-4 h, sáb 13-3 h, dom 13-00 h",200,400,1,NA,1,NA,1,"Ciudad de México","Benito Juárez","Narvarte",3020,"Cumbres de Maltrata","Glorieta de Vértiz","","352","",19.3915536,-99.1508229,"5698 9688","","Atención:2 - Calidad:2 - Ambiente:2 -"
"trattoria giacovanni interlomas","",2016-12-15 12:30:00,"gallery tdselectgalleryslideslide columns ids orderbyrandlos platillos italianos eje conductor comida sirve entrattoria giacovanni restaurante esmera mantener toque hogar pizzas leñay pan hecho casa ofrece versatilidad barra ensaladas fresca además servicio bar sirve diferentes bebidas clásicas mojitos mezcla musical éxitos ochenta noventa facebook giacovanni twitter giacovanni instagram trattoriagiacovanni","sinópsis  valet parking  internet inalámbrico  italiana  abierto domingo  desayunos  área fumar  servicio bar  terraza  ver deportes  ideal grupos grandes ","italiana","italiana desayunos abierto domingo ideal grupos grandes valet parking área fumar servicio bar terraza internet inalámbrico  ver deportes ","lun-mié 13-00 h, jue y vie 13-1 h, sáb 8-1 h, dom 8-22 h",300,500,1,1,NA,NA,NA,"Estado De México","Huixquilucan","Lomas De La Herradura",52785,"Parque de Granada","Boulevard Magnocentro","","57","",19.4063471,-99.271576,"5290 6140","http://giacovanni.com.mx/",""
"trattoria giacovanni condesa","",2016-12-15 11:55:00,"gallery tdselectgalleryslideslide columns ids orderbyrandlos platillos italianos eje conductor comida sirve entrattoria giacovanni restaurante esmera mantener toque hogar pizzas leña pan hecho casa ofrece versatilidad barra ensaladas fresca además servicio bar sirve diferentes bebidas clásicas mojitos mezcla musical éxitos ochenta noventa facebook giacovanni twitter giacovanni instagram trattoriagiacovanni","sinópsis  valet parking  internet inalámbrico  italiana  servicio llevar  desayunos  área fumar  servicio bar  terraza  ver deportes  reservación recomendada  ideal grupos grandes ","italiana","italiana desayunos reservación recomendada ideal grupos grandes valet parking área fumar servicio bar servicio llevar terraza internet inalámbrico  ver deportes ","lun-mié 13-00 h, jue y vie 13-1 h, sáb 8-1 h, dom 8-22 h",300,500,1,1,NA,NA,NA,"Ciudad de México","Cuauhtémoc","Condesa",6140,"Sonora","","Avenida México","180","Local 6",19.4131935,-99.1677647,"5564 3220","http://giacovanni.com.mx/",""
"dli house","",2016-12-01 11:19:00," restaurante especializa servir platillos mexicanos bien definidos compartir hora desayuno comida cena fbdelihousemx","sinópsis  valet parking  internet inalámbrico  mexicana  abierto domingo  servicio llevar  desayunos  estacionamiento cercano  servicio domicilio  ver deportes  pet friendly  ideal grupos grandes ","mexicana","mexicana desayunos abierto domingo pet friendly ideal grupos grandes valet parking estacionamiento cercano servicio domicilio servicio llevar internet inalámbrico  ver deportes ","lun-mié 7-23 h, jue y vie 7-00 h, sáb 8-00 h, dom 8-22 h",100,250,1,1,NA,NA,NA,"Estado De México","Naucalpan","Lomas De Tecamachalco Secc. Fuentes",53950,"Av. de las Fuentes","","","49","",19.4218298,-99.2384551,"5294 6684","http://delihouse.mx/",""
"dragon house zhu","",2016-11-25 14:38:00,"gallery tdselectgalleryslideslide columns ids orderbyrand lugar nueva opción comer comida china internacional zona polanco sabores bien definidos atmósfera trasladará país asiático degusta camarones coco carne sichuan postres strudel manzana fb dragonhousezhu","internacional  internet inalámbrico  asiática  desayunos  área fumar  servicio bar  servicio domicilio  preview ","asiáticainternacional","asiática internacional área fumar desayunos internet inalámbrico servicio domicilio servicio bar ","dom-mié 7-23 h, jue-sáb 7-2 h",0,0,0,0,0,0,0,"Ciudad de México","Miguel Hidalgo","Polanco Chapultepec",11560,"Molière","Ejército Nacional","","353","",19.4380511,-99.2009192,"3228 4000","",""
"chucho erizo","",2016-11-23 13:56:00,"chucho erizo marisquería tradicional sirve tostadas pulpo camarón filete bandera pescado talla fb chucho erizo","sinópsis  valet parking  internet inalámbrico  pescados mariscos  área fumar  servicio bar  terraza  ver deportes ","pescados mariscos","pescados mariscos valet parking área fumar servicio bar terraza internet inalámbrico  ver deportes ","lun-mié 12-20 h, jue-sáb 12-01 h, dom 11-20 h",300,500,1,1,NA,NA,NA,"Ciudad de México","Miguel Hidalgo","Anzures",11590,"Shakespeare","","Emanuel Kant","92","",19.4290675,-99.1774858,"7090 0023","",""
"papa guapa valle","",2016-10-28 11:09:00,"entrar papa guapa transportarnos década grandes lámparas mesas tipobooth color verde pistache barra bancos altos pantalla antigua proyectandopelículas videos época claro pueden faltar canciones remiten lascrinolinas grandes copetes estilo elvis presley menú papas rellenas horno homenaje belleza femeninacadaplatillo lleva nombre alguna celebridad cine televisión música todoslos gustospara comen carne buena elección papa ulina rubio lachica dorada alambre carne res queso vegetarianos papa hepburn inspiradaen actriz audrey hepburn rellena vegetales asados plancha aderezo pestoy queso cabra gustan aventurar paladar papa monroe creada enhonor sensual marilyn monroe preparada camarones queso barra bebidas casi viene grandes proporciones ejemplo aguasdel día servidas vasos litro igual cócteles vodka ronel martinies presentado copa aproximadamente cm ancho cm alto lasmalteadas únicas conservan tamaño decente llamarlo algún modo cabe mencionar servicio bastante bueno meseros siempre buen humory pendientede requieras además común ver mesas aldueño lugarmiguel morales incluso puede hacer chef barman facebookcompapaguapa síguelos twitter papaguapa","critica  valet parking  americana  abierto domingo  servicio llevar ","americana","americana abierto domingo valet parking servicio llevar ","lun-jue 13-23 h vie y sáb 13-1 h, dom 13-22 h",100,250,1,1,NA,NA,NA,"Ciudad de México","Benito Juárez","Del Valle",3100,"Eugenia","Insurgentes","","101","C",19.388831,-99.1738357,"1107 6337","http://papaguapa.com/","Atención:4 - Calidad:4 - Ambiente:4 -"
"fonda factor","",2016-10-20 15:59:00," maría josé alegret si mencionamos fonda factor cualquier adulto buena memoria recordará cariño icónico restaurante zona san ángel hace años cerró puertas fortuna disfrutan comer comida tradicional mexicana regresó arquitectura contemporánea guarda paredes recetas aquel méxico cocina hacía prisa menú presume legado culinario mismos platillos mismo concepto tal caso estofado boda res achiote mezcla chiles fruta imagínense salsita tipo mole afrutada estrella lugar simple guiso imperdible cultura gastronómica mexicana leyenda cuenta horas cocción ancestros bajan sazonarlo antojo opción centro definitivamente huitlacoche fórmula secreta éste preparación artesanal martajado sofrito cebolla combina toques dulces salados encuentran balance fusionarse queso doble crema acompaña tanta historia imposible lugar dé pasos atrás ejecución platillos impecable quizás innovación caería mal carta desaparecer tantos años regresar campeón mérito","critica  mexicana ","mexicana","mexicana ","dom-lun 8-18 h, mar-sáb 8-23 h",300,400,1,1,NA,NA,NA,"Ciudad de México","Alvaro Obregón","San Angel",1000,"Avenida de la Paz","","Insurgentes","47","",19.3467454,-99.1891536,"7155 5023","","Atención:3 - Calidad:4 - Ambiente:3 -"
"fonda factor","",2016-10-20 15:59:00," maría josé alegret si mencionamos fonda factor cualquier adulto buena memoria recordará cariño icónico restaurante zona san ángel hace años cerró puertas fortuna disfrutan comer comida tradicional mexicana regresó arquitectura contemporánea guarda paredes recetas aquel méxico cocina hacía prisa menú presume legado culinario mismos platillos mismo concepto tal caso estofado boda res achiote mezcla chiles fruta imagínense salsita tipo mole afrutada estrella lugar simple guiso imperdible cultura gastronómica mexicana leyenda cuenta horas cocción ancestros bajan sazonarlo antojo opción centro definitivamente huitlacoche fórmula secreta éste preparación artesanal martajado sofrito cebolla combina toques dulces salados encuentran balance fusionarse queso doble crema acompaña tanta historia imposible lugar dé pasos atrás ejecución platillos impecable quizás innovación caería mal carta desaparecer tantos años regresar campeón mérito","critica  mexicana ","mexicana","mexicana ","dom-lun 8-18 h, mar-sáb 8-23 h",300,400,1,1,NA,NA,NA,"Ciudad de México","Alvaro Obregón","San Angel",1000,"Avenida de la Paz","","Insurgentes","47","",19.3467454,-99.1891536,"7155 5023","","Atención:3 - Calidad:4 - Ambiente:3 -"
"aitana","",2016-10-20 15:36:00," pedro reyes sorpresa salir elevador torre virreyes amplios espacios aitana diseño cargo estudio realizó ten ten mercado san ildefonso ambos madrid trata nuevo proyecto familia ituarte creadores alaia emilio miguel ángel ubicado zona meramente corporativa restaurante tardó recibir comensales aquellos trabajan zona edificio familias viven alrededores cuanto menú filosofía mayor pretensión comida sabrosa porciones generosas atinada carta vinos variaciones respecto restaurantes radican carta tiende hacia comida fresca pescadosceviches platos frutales ejemplo guayaba rellena quesos cremosos sandía plancha aunque ravioles hongos mordida dar rib eye fantástico cachete cerdo infaltable solomillo opciones demuestran corte siempre pieza angular mesa hace olvidar momento característico espíritu vasco clásico establecimientos asunto refresca coctelería haciendo esfuerzo oferta etílica reduzca vino embargo aún hace falta carta bien diseñada pues basta sugerencias mesero si sucede menú sigue explorado aitana puede dar mucha vida zona","critica  pescados mariscos ","pescados mariscos","pescados mariscos ","lun-sáb 13:30-00 h, dom 13:30-18 h",500,600,1,1,NA,NA,NA,"Ciudad de México","Miguel Hidalgo","Molino Del Rey",11040,"Pedregal","Teapa","","24","",19.4254147,-99.2035727,"5540 3193","","Atención:3 - Calidad:3 - Ambiente:3 -"
